Have a great day,goodbyes
goodbye,goodbyes
ok bye,goodbyes
see you soon,goodbyes
ciao,goodbyes
ttyl,goodbyes
byebye,goodbyes
How Are You,greeting
good afternoon,greeting
good morning,greeting
hey hi,greeting
hello,greeting
Are you open on Sundays?,hours_info
What are your hours?,hours_info
What are your hours of operation?,hours_info
What time are you open until?,hours_info
Are you open on Saturdays?,hours_info
When do you open,hours_info
When are you open,hours_info
Are you open on Christmas' Day?,hours_info
What days are you closed on?,hours_info
When do you close,hours_info
what are the hours of operation for your Orchard store,hours_info
what are you hours of operation in Clementi,hours_info
Where are you physically located?,location_info
where is your Bedok store?,location_info
do you have a milk tea shop in Changi,location_info
What's the address of your West Coast store?,location_info
what's the address of your Chinatown store?,location_info
locations in Malaysia,location_info
Locations in Singapore,location_info
Give me a list of locations,location_info
List of location,location_info
What are your locations?,location_info
Where are your stores?,location_info
list of your locations,location_info
thanks!,thankYou
xie xie,thankYou
to,thankYou
ty,thankYou
thank you,thankYou
hey thanks,thankYou
many thanks,thankYou
